time_ms, raw_ax, raw_ay, raw_az, filt_ax, filt_ay, filt_az
13791, 0.14, 0.07, -1.36, 0.05, 0.02, -1.15
13838, 0.13, 0.03, -1.35, 0.06, 0.02, -1.19
13885, 0.10, 0.02, -1.37, 0.07, 0.02, -1.23
13932, 0.01, -0.00, -1.30, 0.06, 0.02, -1.24
13979, 0.02, -0.01, -1.21, 0.05, 0.01, -1.24
14026, -0.02, 0.04, -1.04, 0.04, 0.02, -1.20
14073, 0.00, -0.03, -0.81, 0.03, 0.01, -1.12
14125, -0.10, -0.03, -0.41, 0.01, -0.00, -0.98
14172, -0.08, -0.05, -0.33, -0.01, -0.01, -0.85
14219, -0.06, -0.02, -0.25, -0.02, -0.01, -0.73
14266, -0.04, 0.04, -0.66, -0.02, -0.00, -0.71
14313, -0.01, 0.02, -0.86, -0.02, 0.00, -0.74
14360, -0.06, 0.05, -1.22, -0.03, 0.01, -0.84
14407, -0.21, -0.22, -1.49, -0.07, -0.03, -0.97
14454, -0.04, 0.00, -1.55, -0.06, -0.03, -1.09
14501, 0.07, -0.07, -1.89, -0.03, -0.04, -1.25
14548, 0.17, -0.07, -2.11, 0.01, -0.04, -1.42
14595, 0.11, -0.04, -1.82, 0.03, -0.04, -1.50
14647, 0.05, 0.00, -1.23, 0.03, -0.03, -1.45
14694, 0.05, 0.04, -0.72, 0.03, -0.02, -1.30
14743, -0.07, -0.02, -0.35, 0.01, -0.02, -1.11
14790, -0.20, -0.00, -0.24, -0.03, -0.01, -0.94
14837, -0.18, 0.03, -0.08, -0.06, -0.01, -0.76
14884, -0.20, 0.01, -0.10, -0.09, -0.00, -0.63
14931, -0.02, 0.05, -0.63, -0.07, 0.01, -0.63
14978, 0.12, 0.03, -1.07, -0.03, 0.01, -0.72
15025, 0.10, 0.03, -1.35, -0.01, 0.02, -0.84
15072, -0.04, -0.02, -1.42, -0.01, 0.01, -0.96
15124, -0.03, 0.03, -1.61, -0.02, 0.01, -1.09
15171, 0.04, 0.01, -1.94, -0.01, 0.01, -1.26
15218, 0.12, 0.01, -1.89, 0.02, 0.01, -1.39
15265, 0.16, -0.02, -1.72, 0.05, 0.01, -1.45
15312, 0.10, -0.04, -1.44, 0.06, -0.00, -1.45
15359, -0.02, -0.11, -0.87, 0.04, -0.02, -1.34
15406, -0.06, -0.03, -0.59, 0.02, -0.03, -1.19
15453, -0.15, -0.03, -0.24, -0.01, -0.03, -1.00
15500, -0.15, 0.02, -0.16, -0.04, -0.02, -0.83
15547, -0.17, -0.02, -0.09, -0.06, -0.02, -0.68
